best fitness,average fitness, best performance
96.1538,68.496,65.7143
96.1538,69.1189,65.7143
96.1538,69.8463,65.7143
96.1538,71.2888,65.7143
96.1538,73.1793,65.7143
96.1538,73.4974,65.7143
96.1538,73.5649,65.7143
96.1538,73.6679,65.7143
96.1538,74.1457,65.7143
96.1538,75.2856,65.7143
96.1538,75.9339,65.7143
96.1538,76.5606,65.7143
96.1538,76.8671,65.7143
96.1538,77.3003,65.7143
96.1538,77.8612,65.7143
96.1538,78.6924,65.7143
96.1538,78.6652,65.7143
96.1538,78.9533,65.7143
99.6857,80.6493,64.2857
99.6857,82.2506,64.2857
99.6857,82.9171,64.2857
99.6857,83.2871,64.2857
99.6857,83.9721,64.2857
99.6857,84.4892,64.2857
99.6857,84.5983,64.2857
99.6857,85.281,64.2857
99.6857,85.9477,64.2857
99.6857,86.3656,64.2857
99.6857,86.5787,64.2857
99.6857,87.3923,64.2857
99.6857,88.6191,64.2857
99.6857,89.0927,64.2857
99.6857,89.5314,64.2857
99.6857,90.1479,64.2857
99.6857,90.6228,64.2857
99.6857,90.1204,64.2857
99.6857,90.0583,64.2857
99.6857,90.4815,64.2857
99.6857,90.7797,64.2857
99.6857,91.2078,64.2857
99.6857,92.0252,64.2857
99.6857,91.9972,64.2857
99.6857,92.558,64.2857
99.6857,93.2671,64.2857
99.6857,92.9609,64.2857
99.6857,94.093,64.2857
99.6857,94.4578,64.2857
99.6857,95.1417,64.2857
99.6857,95.195,64.2857
99.6857,95.6065,64.2857
99.6857,95.3788,64.2857
99.6857,95.5971,64.2857
99.6857,95.0846,64.2857
99.6857,94.3903,64.2857
99.6857,95.4739,64.2857
99.6857,96.1539,64.2857
99.6857,94.8973,64.2857
99.6857,96.1532,64.2857
99.6857,95.0056,64.2857
99.6857,96.2901,64.2857
99.6857,95.8648,64.2857
99.6857,96.054,64.2857
99.6857,96.0579,64.2857
99.6857,96.4085,64.2857
99.6857,96.5872,64.2857
99.6857,96.6065,64.2857
99.6857,96.7222,64.2857
99.6857,96.0417,64.2857
99.6857,96.9467,64.2857
99.6857,96.8179,64.2857
99.6857,96.3661,64.2857
99.6857,97.0111,64.2857
99.6857,96.924,64.2857
99.6857,96.7597,64.2857
99.6857,97.1686,64.2857
99.6857,97.2202,64.2857
99.6857,97.0927,64.2857
99.6857,97.2023,64.2857
99.6857,95.5993,64.2857
99.8,97.4785,70
99.8,96.9693,70
99.8,97.2831,70
99.8,97.5909,70
99.8,97.7027,70
99.8,96.1834,70
99.8,96.9338,70
99.8,96.7828,70
99.8,97.756,70
99.8,97.1853,70
99.8,97.6053,70
99.8,97.5927,70
99.8,96.6353,70
99.8,97.3927,70
99.8,97.6976,70
99.8,97.4098,70
99.8,97.8678,70
99.8,97.9193,70
99.8,97.9794,70
99.8,97.988,70
99.8,97.5782,70
99.8,97.7081,70
99.8,98.0889,70
99.8,97.8833,70
99.8,97.8833,70
99.8,98.1404,70
99.8,98.156,70
99.8,97.8969,70
99.8,97.7595,70
99.8,98.0824,70
99.8,98.2303,70
99.8,96.9875,70
99.8,98.3108,70
99.8,97.3971,70
99.8,98.0064,70
99.8,98.1776,70
99.8,98.4028,70
99.8,97.3667,70
99.8,97.9725,70
99.8,98.4391,70
99.8,96.6296,70
99.8,97.1535,70
99.8,98.4701,70
99.8,98.5431,70
99.9144,98.5732,68.5714
99.9144,98.2564,68.5714
99.9144,98.6849,68.5714
99.9144,98.7621,68.5714
99.9144,98.2562,68.5714
99.9144,98.2682,68.5714
99.9144,98.5571,68.5714
99.9144,98.7352,68.5714
99.9144,98.5749,68.5714
99.9144,98.1799,68.5714
99.9144,96.8376,68.5714
99.9714,98.8977,68.5714
99.9714,98.9014,68.5714
99.9714,98.9507,68.5714
99.9714,98.3184,68.5714
99.9714,98.5297,68.5714
99.9714,97.9507,68.5714
99.9714,98.4325,68.5714
99.9714,99.043,68.5714
99.9714,99.0615,68.5714
99.9714,98.7045,68.5714
99.9714,98.0331,68.5714
99.9714,99.0986,68.5714
99.9714,99.1171,68.5714
99.9714,98.4774,68.5714
99.9714,98.9477,68.5714
99.9714,99.1356,68.5714
99.9714,98.6497,68.5714
99.9714,98.8621,68.5714
99.9714,99.1598,68.5714
99.9714,98.2147,68.5714
