best fitness,average fitness, best performance
95.4333,60.5785,45
95.4333,63.7147,45
95.4333,64.6418,45
95.4333,66.56,45
95.4333,66.0761,45
95.4333,65.3884,45
95.4333,68.4736,45
95.4333,70.681,45
95.4333,72.3954,45
95.4333,72.2001,45
95.4333,73.9488,45
95.4333,74.5662,45
95.4333,77.9527,45
95.4333,81.2364,45
95.4333,81.0865,45
95.4333,83.5337,45
95.4333,83.5337,45
95.4333,84.2477,45
95.4333,86.3442,45
95.4333,87.3079,45
95.4333,87.4898,45
95.4333,87.4898,45
95.4333,87.4898,45
95.4333,87.7849,45
99.3707,90.5491,45
99.3707,84.2798,45
99.3707,88.8124,45
99.3707,89.7357,45
99.3707,91.3473,45
99.3707,92.0485,45
99.3707,93.6582,45
99.3707,93.6582,45
99.3707,93.6582,45
99.3707,93.6582,45
99.3707,89.5873,45
99.3707,90.1902,45
99.3707,90.6967,45
99.3707,95.5107,45
99.3707,94.4261,45
99.3707,95.1595,45
99.3707,95.1595,45
99.3707,94.0116,45
99.3707,91.722,45
99.3707,91.722,45
99.3707,92.2458,45
99.3707,97.0434,45
99.3707,97.5672,45
99.3707,98.091,45
99.7667,98.7101,47
99.7667,96.0644,47
99.7667,94.2623,47
99.7667,94.6209,47
99.7667,94.9624,47
99.7667,94.0718,47
99.7667,99.2726,47
99.7667,99.3112,47
99.7667,96.5857,47
99.7667,92.2723,47
99.7667,94.0235,47
99.7667,97.2838,47
99.7667,93.0816,47
99.7667,93.8598,47
99.7667,91.7726,47
99.7667,91.7071,47
99.7667,89.2202,47
99.7667,99.3499,47
99.7667,99.3886,47
99.7667,97.9662,47
99.7667,98.9409,47
99.7667,98.3786,47
99.7667,99.2267,47
99.7667,92.1808,47
99.7667,98.4648,47
99.7667,95.0791,47
99.7667,97.6574,47
99.7667,97.6574,47
99.7667,97.6574,47
99.7667,94.238,47
99.7667,95.1287,47
99.7667,90.1446,47
99.7667,89.06,47
99.7667,86.7152,47
99.7667,86.7152,47
99.7667,94.45,47
99.7667,89.3758,47
99.7667,92.003,47
99.7667,92.003,47
99.7667,91.231,47
99.7667,98.6552,47
99.7667,97.5124,47
99.7667,97.5124,47
99.7667,98.1831,47
99.7667,92.823,47
99.7667,94.8299,47
99.7667,90.1138,47
99.7667,94.0425,47
99.7667,94.1027,47
99.7667,98.0284,47
99.7667,98.0284,47
99.7667,95.861,47
