best fitness,average fitness, best performance
69.541,48.3639,48
69.541,48.5441,48
69.541,51.4592,48
69.541,51.8874,48
69.541,52.9046,48
69.541,51.2924,48
69.541,51.5988,48
69.541,51.5988,48
69.541,51.5988,48
69.541,50.8841,48
69.541,55.2507,48
69.541,55.6296,48
69.541,55.5216,48
69.541,55.4798,48
69.541,56.113,48
71.7017,59.4381,51
71.7017,59.9124,51
71.7017,59.2597,51
71.7017,56.645,51
86.9565,62.519,49
86.9565,69.0495,49
86.9565,74.3313,49
86.9565,72.669,49
86.9565,73.2543,49
86.9565,79.3333,49
86.9565,81.4267,49
86.9565,80.0262,49
86.9565,79.1547,49
86.9565,79.7733,49
86.9565,80.1892,49
86.9565,82.7397,49
86.9565,79.7304,49
86.9565,80.005,49
87.8477,80.2181,48
87.8477,80.1459,48
87.8477,80.1459,48
87.8477,86.7406,48
87.8477,86.8264,48
87.8477,85.9921,48
87.8477,85.9921,48
95.7667,87.3365,45
95.7667,87.3365,45
95.7667,88.4332,45
95.7667,90.5358,45
95.7667,91.6325,45
95.7667,92.7292,45
95.7667,91.2569,45
95.7667,91.3998,45
95.7667,87.0372,45
95.7667,90.4817,45
95.7667,89.5007,45
95.7667,89.8757,45
95.7667,87.6338,45
95.7667,95.081,45
97.7517,95.6693,47
97.7517,90.8508,47
97.7517,95.9741,47
98.3,96.3741,46
98.3,95.7264,46
98.3,91.9891,46
98.3,94.6979,46
98.3,93.6502,46
98.3,91.9033,46
98.3,91.6176,46
98.3,90.9078,46
98.3,92.3864,46
98.3,92.6487,46
98.3,95.7188,46
98.3,96.4576,46
98.3,96.5529,46
98.3,94.2762,46
98.3,97.606,46
98.3,92.2789,46
98.3,93.1923,46
98.3,96.2306,46
98.3,90.3797,46
98.3,90.344,46
98.3,90.344,46
98.3,89.1801,46
98.3,93.0447,46
98.3,91.875,46
98.3,95.1164,46
98.3,96.7354,46
98.6333,98.038,45
98.6333,96.6181,45
98.6333,93.8757,45
98.6333,93.9321,45
98.6333,95.8276,45
98.6333,97.3497,45
98.6333,97.3961,45
98.6333,89.8139,45
98.6333,88.8096,45
98.6333,88.8096,45
99.5685,95.0513,46
99.5685,94.1192,46
99.5685,93.6863,46
99.5685,94.1383,46
99.5685,87.7092,46
99.5685,95.4682,46
99.5685,97.046,46
